date,volumeto,close,bitcoin,num_tweets
2020-11-27,605284901.68,17739.9,16.79,44777.0
2020-11-28,489679989.73,18199.23,14.03,37071.0
2020-11-29,1493787961.07,19686.87,13.57,33292.0
2020-11-30,1743191338.61,18792.03,19.09,66042.0
2020-12-01,903817773.96,19226.19,16.12,60008.0
2020-12-02,747088833.15,19448.44,12.71,48309.0
2020-12-03,804366524.28,18665.0,12.09,44375.0
2020-12-04,388466883.76,19156.84,11.78,46085.0
2020-12-05,405708588.31,19378.94,10.54,39802.0
2020-12-06,477334574.93,19181.41,9.61,39953.0
2020-12-07,866543428.89,18323.52,10.54,45372.0
2020-12-08,1057335071.17,18549.92,10.23,46222.0
2020-12-09,684802762.09,18250.47,10.85,42250.0
2020-12-10,809318887.79,18034.86,9.61,37279.0
2020-12-11,484239535.46,18814.98,10.23,35891.0
2020-12-12,592021817.57,19169.05,8.99,38898.0
2020-12-13,456841099.92,19274.69,9.3,39491.0
2020-12-14,819839290.04,19441.96,9.61,38737.0
2020-12-15,1949841494.52,21352.13,9.92,43739.0
2020-12-16,3194654467.93,22822.17,18.91,127155.0
2020-12-17,1362467582.47,23135.57,31.0,120169.0
2020-12-18,1268054141.3,23844.72,20.46,67616.0
2020-12-19,1014224949.67,23467.06,17.669999999999998,56872.0
2020-12-20,1750627321.07,22727.13,17.36,62679.0
2020-12-21,1149767378.59,23823.32,19.22,61296.0
2020-12-22,1552020951.78,23239.5,16.12,45927.0
2020-12-23,923848542.66,23724.2,15.19,43942.0
2020-12-24,1199894883.01,24707.98,13.64,42618.0
2020-12-25,1611547513.19,26445.7,15.19,49739.0
2020-12-26,2463390777.21,26249.27,22.32,72172.0
2020-12-27,1402005893.58,27039.45,29.76,88788.0
2020-12-28,1479551411.61,27360.78,23.25,59779.0
2020-12-29,1993721842.2,28889.61,19.84,56236.0
2020-12-30,1924969475.46,28972.4,23.56,80886.0
2020-12-31,1487306218.52,29388.94,23.56,68822.0
2021-01-01,3750440817.91,32203.64,23.68,55480.0
2021-01-02,3132759314.54,33063.48,42.24,145059.0
2021-01-03,3901979149.92,32030.55,49.28,141596.0
2021-01-04,3037657026.2,34038.29,41.6,82412.0
2021-01-05,3788317475.74,36849.86,33.92,68133.0
2021-01-06,4753170180.55,39479.41,37.76,86631.0
2021-01-07,4705592327.36,40636.24,53.76,125036.0
2021-01-08,2241901362.12,40236.66,54.4,113560.0
2021-01-09,3983391028.78,38202.08,42.88,84725.0
2021-01-10,8100819368.26,35496.03,41.6,74964.0
2021-01-11,3999535589.05,34058.4,64.0,109316.0
2021-01-12,3198683391.78,37380.85,45.44,83880.0
2021-01-13,2895085049.06,39155.58,40.32,91811.0
2021-01-14,3288447634.87,36790.17,40.96,106170.0
2021-01-15,1995053500.31,36025.26,35.84,70388.0
2021-01-16,1806688237.48,35839.51,30.72,62189.0
2021-01-17,1554686784.02,36623.04,27.52,59161.0
2021-01-18,1787957383.29,35932.79,26.24,69189.0
2021-01-19,2316775667.92,35501.38,26.24,70173.0
2021-01-20,4042427455.09,30840.3,24.32,61204.0
2021-01-21,3418228006.19,33008.02,30.08,79347.0
2021-01-22,1287618530.17,32107.29,32.64,79570.0
2021-01-23,1079875602.62,32283.66,24.32,52802.0
2021-01-24,1989618039.07,32275.27,21.76,50983.0
2021-01-25,1909630282.43,32516.52,23.04,63766.0
2021-01-26,3149650799.32,30423.05,21.12,55828.0
2021-01-27,2463162479.45,33443.87,23.68,60652.0
2021-01-28,6015929349.68,34252.08,23.68,84933.0
2021-01-29,1574213551.44,34317.82,38.4,200783.0
2021-01-30,1176981986.93,33143.22,26.88,93578.0
2021-01-31,1623291067.04,33535.94,23.04,68163.0
2021-02-01,1789698965.07,35524.43,25.08,91439.0
2021-02-02,2340630205.42,37677.34,22.44,80624.0
2021-02-03,2767003411.51,36983.42,24.42,87809.0
2021-02-04,1705038314.0,38310.24,25.74,76348.0
2021-02-05,2642530408.41,39267.01,23.76,97415.0
2021-02-06,2076904733.5,38868.82,28.380000000000003,107331.0
2021-02-07,5944522159.67,46437.41,25.08,77886.0
2021-02-08,4610214635.38,46509.57,54.120000000000005,212923.0
2021-02-09,3326890835.4,44854.95,66.0,159207.0
2021-02-10,3377367971.59,48006.18,43.56,124292.0
2021-02-11,2831634659.58,47435.54,40.260000000000005,115390.0
